,ric
0,US107601813=
1,US114408816=
2,US119637350=
3,US099314508=
4,US114408611=
5,US090343351=
6,US190712052=
7,GB120385496=
8,GB132492875=
9,GB120385992=
10,GB046842561=
11,GB070417855=
12,GB085601458=
13,GB090935933=
14,NL104309763=
15,GB166464498=
16,DE138279219=
17,DE138279197=
18,DE139683005=
19,DE050360326=
20,DE052578787=
21,DE084758035=
22,DE087579654=
23,DE155709561=
24,DE173223234=
25,DE182803278=
26,DE155709545=
27,DE155709626=
28,DE182803251=
29,DE161789836=
30,DE182803383=
31,ES139476468=
32,ES129072920=
33,ES194600445=
34,ES155095121=
35,ES106943036=
36,ES168152108=
37,ES139477766=
38,ES155095113=
39,ES087486486=
40,ES112089250=
41,ES175629696=
42,ES090728997=
43,ES187784611=
44,ES194600445=
45,ES139477766=
46,ES129072920=
47,ES175629696=
48,ES087486486=
49,ES168152108=
50,ES155095113=
51,ES112089250=
52,ES106943036=
53,ES187784611=
54,ES139476468=
55,ES155095121=
56,ES090728997=
57,FR140831743=
58,FR056330631=
59,FR082799931=
60,US078752734=
61,US090681559=
62,US104010423=
63,US104010598=
64,US203547374=
65,US203547455=
66,US171624371=
67,US106631239=
68,DE111415528=
69,DE111415927=
70,DE222462142=
71,DE224050526=
72,GB166464471=
73,FR140133175=
74,FR052941431=
75,FR108683597=
76,FR117991601=
77,FR0013342128=
78,FR0013383213=
79,FR0013505260=
80,IT184663104=
81,IT116983281=
82,IT149760636=
83,IT134774860=
84,IT169821852=
85,IT155167840=
86,MX051990285=
87,MX080217404=
88,NO079879002=
89,NO093324145=
90,BE063302678=
91,BE122024393=
92,BE083438681=
93,BE138534057=
94,BE105134355=
95,BE175240047=
96,BE197438665=
97,BE138534090=
98,BE122024415=
99,BE197438681=
100,BE087988325=
101,BE175238565=
102,BE138534120=
103,BE215232247=
104,BE215232140=
105,BE215232093=
106,NL075842074=
107,NL081155518=
108,NL169178186=
109,NL187759544=
110,NL152719248=
111,NL187759501=
112,NL140117463=
113,NL128885293=
114,NL133043438=
115,NL214797747=
116,NL216863020=
117,NL067738934=
118,NL075209231=
119,NL081112479=
120,NL148553289=
121,NL148553343=
122,LU060005664=
123,GB137767996=
124,GB137768038=
125,GB163733374=
126,GB137768127=
127,GB188640281=
128,GB163733285=
129,GB163733480=
130,GB172092217=
131,GB188640320=
132,GB104050816=
133,GB104050824=
134,GB155801301=
135,GB155801336=
136,GB195131376=
137,GB195131368=
138,DK085474634=
139,DK107171347=
140,DK167790216=
141,DK213307177=
142,DK219150903=
143,SE157129368=
144,SE157129317=
145,JP168438516=
146,DE114179=
147,DE114178=
148,DE114177=
149,DE114176=
150,DE114175=
151,DE114174=
152,DE114173=
153,DE113549=
154,DE113548=
155,DE113547=
156,DE113546=
157,DE113545=
158,DE113544=
159,DE113543=
160,DE113542=
161,DE113536=
162,DE113532=
163,DE113527=
164,DE113522=
165,DE113517=
166,DE113514=
167,DE113508=
168,DE113506=
169,DE113504=
170,DE113492=
171,DE110476=
172,DE110475=
173,DE110474=
174,DE110247=
175,DE110246=
176,DE110245=
177,DE110244=
178,DE110243=
179,DE110242=
180,DE110241=
181,DE110240=
182,DE110239=
183,DE110238=
184,DE110237=
185,DE110236=
186,DE110235=
187,DE110234=
188,DE110233=
189,DE110232=
190,DE110231=
191,DE110230=
192,DE103057=
193,DE103056=
194,DE103055=
195,DE103054=
196,CN207853321=
197,CN207853291=
198,CN207853534=
199,ID164748120=
200,ID181077514=
201,ID206995939=
202,ID126843020=
203,ID201254671=
204,ID143249379=
205,ID164748138=
206,ID143249387=
207,ID126847092=
208,ID143249344=
209,ID108436859=
210,ID143249352=
211,ID108436794=
212,ID210040439=
213,KR222696968=
214,KR027726526=
215,KR107537198=
216,NO223906737=
217,NO156260142=
218,NO122495850=
219,XS224959834=
220,XS132155003=
221,XS182346411=
222,XS157788426=
223,XS132714908=
224,XS137303744=
225,XS150567467=
226,XS140338583=
227,XS186090527=
228,XS130847650=
229,XS155817135=
230,XS131478011=
231,XS145092604=
232,XS139689348=
233,XS129457252=
234,XS187541166=
235,XS189286015=
236,XS099495332=
237,XS104079296=
238,XS195853673=
239,XS211946636=
240,DEA14J2Q=
241,DE159868591=
242,DE135697320=
243,DEA1KQ96=
244,DEA1K0SM=
245,CA121073935=
246,CA120534696=
247,CA210682872=
248,CA195933863=
249,US224263333=
250,US224263325=
251,US106169756=
252,US106171416=
253,US144674618=
254,US206430273=
255,US216862546=
256,US216862554=
257,US196355391=
258,US196355561=
259,FR0013357860=
260,FR0013357852=
261,FR0013357845=
262,ES224754973=
263,ES175002618=
264,ES155172681=
265,ES146852505=
266,ES126577893=
267,ES202121233=
268,ES210293469=
269,ES219365861=
270,DEA2LQRW=
271,FR00140005T0=
272,FR0011651389=
273,FR0012452191=
274,FR0013252277=
275,FR0013464815=
276,NL224140029=
277,NL224140037=
278,NL206621362=
279,NL206621427=
280,FR0011577188=
281,FR0011847714=
282,FR0013320058=
283,FR0013281755=
284,FR0013181906=
285,FR0012942647=
286,FR0013218393=
287,IT223179258=
288,IT188180400=
289,IT143529592=
290,IT159883582=
291,IT205191496=
292,IT200127099=
293,IT195469792=
294,IT210980636=
295,US170819381=
296,US023732394=
297,US030011325=
298,US098914820=
299,US190075290=
300,US131431830=
301,US081670412=
302,US170819268=
303,US190075281=
304,US190075010=
305,US164049299=
306,US164049264=
307,US184343622=
308,US184343657=
309,US184343614=
310,US184343665=
311,US184343592=
312,US208560832=
313,US208554743=
314,US208565559=
315,DE185453294=
316,DE208449770=
317,DE208448820=
318,DE208451006=
319,DE217876915=
320,DE217876907=
321,US132346372=
322,US140576751=
323,US171848032=
324,US171744172=
325,NL178747754=
326,NL168579837=
327,NL201863660=
328,NL215001555=
329,NL222947014=
330,NL045477371=
331,US140576689=
332,US170816129=
333,US170816765=
334,US170833597=
335,US103090024=
336,US114628620=
337,US114628263=
338,US205232109=
339,US205232095=
340,US140576662=
341,US217656109=
342,US217656044=
343,US197928085=
344,US197928093=
345,MX156887498=
346,MX182442470=
347,MX156888877=
348,MX182442518=
349,MX137915804=
350,MX156887544=
351,MX182442534=
352,MX021310107=
353,MX099748443=
354,MX105765983=
355,MX117295150=
356,MX117294790=
357,70645JAN2=
358,MX099748494=
359,FR0013534484=
360,FR0013241676=
361,FR0013323870=
362,FR0013396512=
363,FR0013310224=
364,FR0013217114=
365,FR0013241536=
366,FR0013359239=
367,FR0013359197=
368,FR016140252=
